IMDB ID,Start Timestamp,End Timestamp,Dialogue
tt0104257,"00:00:03,000","00:00:11,500","{\move(10,10,190,230,100,400)\fad(0,1000)\fscx25\fscy25\t(0,6000,\fscx125\fscy125)\c&H000000&\3c&H00FFFF&}anoXmous"
tt0104257,"00:00:12,501","00:00:29,202","{\move(400,10,190,270,100,400)\fad(0,1000)\fscx25\fscy25\t(0,6000,\fscx125\fscy125)\c&H000000f&\3c&0000a6&}https://thepiratebay.se/user/anoXmous"
tt0104257,"00:04:32,814","00:04:36,317","Captain, I'd like to request that It be me who's the attorney...."
tt0104257,"00:04:37,361","00:04:39,946",That it be myself who's assigned....
tt0104257,"00:04:40,197","00:04:43,324","No, I'd like to request That it be I who am assigned...."
tt0104257,"00:04:44,534","00:04:49,372",“That it be I who am assigned”? That's confidence-inspiring.
tt0104257,"00:04:50,207","00:04:53,542","Good grammar, there. Captain, I'd like to request...."
tt0104257,"00:05:00,133","00:05:02,718","Lieutenant Commander Galloway, Here to see Captain West."
tt0104257,"00:05:02,886","00:05:05,388","-Go right in, they're expecting you. -Thank you."
tt0104257,"00:05:09,559","00:05:12,853",#NAME?
tt0104257,"00:05:13,021","00:05:15,398","Captain West, This is Lt. Commander Galloway."
tt0104257,"00:05:15,565","00:05:17,858",#NAME?
tt0104257,"00:05:18,026","00:05:21,112",#NAME?
tt0104257,"00:05:21,405","00:05:23,739","-I'm fine, sir. -Have a seat."
tt0104257,"00:05:25,409","00:05:30,246","-We've had some trouble in Cuba? -Yes, sir. This past Friday."
tt0104257,"00:05:30,414","00:05:34,917","Two Marines, a Lance Corporal Dawson And a Private Downey..."
tt0104257,"00:05:35,085","00:05:39,088",...entered the barracks room of a PFC William Santiago and assaulted him.
tt0104257,"00:05:39,381","00:05:42,758",Santiago died at the base hospital Approximately an hour later.
tt0104257,"00:05:43,010","00:05:46,387",The NIS agent who took Dawson and Downey's statements...
tt0104257,"00:05:46,555","00:05:48,806",...maintains they were trying to stop Santiago...
tt0104257,"00:05:48,974","00:05:51,642",...from naming Dawson in a fenceline shooting incident.
tt0104257,"00:05:51,810","00:05:56,772",-The hearing's in Cuba at 16:00. -What's the problem?
tt0104257,"00:05:56,940","00:05:59,442",Dawson and Downey are recruiting-poster Marines.
tt0104257,"00:05:59,609","00:06:01,902",Santiago was known to be a screw-up.
tt0104257,"00:06:02,070","00:06:04,739",I was thinking it sounded like a Code Red.
tt0104257,"00:06:05,782","00:06:07,116",Christ!
tt0104257,"00:06:07,284","00:06:10,870","Sir, I'd like to have them moved up to Washington and assigned counsel."
tt0104257,"00:06:11,038","00:06:13,122",Someone who can really look into this.
tt0104257,"00:06:13,290","00:06:15,624",Someone who possesses not only the legal skill...
tt0104257,"00:06:15,834","00:06:18,627",...but a familiarity with the workings of the military.
tt0104257,"00:06:18,795","00:06:23,424","In short, I'd like to suggest that I be the one who that--"
tt0104257,"00:06:23,592","00:06:28,679","That it be me who is assigned to represent them, myself."
tt0104257,"00:06:30,599","00:06:35,144","-Why don't you get a cup of coffee? -Thank you, sir, I'm fine."
tt0104257,"00:06:35,312","00:06:38,439","Leave the room, so we can talk about you behind your back."
tt0104257,"00:06:39,107","00:06:41,067","Certainly, sir."
tt0104257,"00:06:47,491","00:06:50,159",I thought this Code Red shit wasn't going on anymore.
tt0104257,"00:06:50,327","00:06:53,454","With the Marines at Gitmo, who knows what the hell goes on there?"
tt0104257,"00:06:53,622","00:06:57,458",We'd better find out before the rest of the world does.
tt0104257,"00:06:57,667","00:07:00,169",What about this Commander Galloway?
tt0104257,"00:07:00,337","00:07:05,466",She's been working a desk at Internal Affairs for a little over a year.
tt0104257,"00:07:05,717","00:07:08,469",#NAME?
tt0104257,"00:07:08,678","00:07:11,347","Three in two years? Who's she handling, the Rosenberg’s?"
tt0104257,"00:07:11,515","00:07:14,016",-She's not a litigator. -She's a hell of an investigator--
tt0104257,"00:07:14,184","00:07:18,687","In Internal Affairs, sure. She can crawl up a lawyer's ass with the best."
tt0104257,"00:07:18,855","00:07:22,858","I know, I know, all passion, no street smarts. Bring her back in."
tt0104257,"00:07:28,532","00:07:29,740",Jo.
tt0104257,"00:07:34,121","00:07:37,498","-We'll have the defendants moved here. -Thank you, sir."
tt0104257,"00:07:37,707","00:07:40,126",And I'll have Division assign them counsel.
tt0104257,"00:07:41,211","00:07:43,921","But, not me?"
tt0104257,"00:07:44,131","00:07:47,508","From what I understand, you're much too valuable..."
tt0104257,"00:07:47,676","00:07:52,138",...to be wasted on a five-minute plea bargain and a week's paperwork.
tt0104257,"00:07:52,305","00:07:55,683","-Sir, there might be more involved. -Don't worry about it."
tt0104257,"00:07:55,892","00:07:58,811",Division will assign the right man for the job.
tt0104257,"00:07:58,979","00:08:01,230","All right, let's go, let's get two!"
tt0104257,"00:08:02,816","00:08:03,816",Sorry.
tt0104257,"00:08:03,984","00:08:07,236","Nothing to be sorry about, Sherby. Look the ball into your glove."
tt0104257,"00:08:07,654","00:08:11,490",#NAME?
tt0104257,"00:08:11,700","00:08:16,412","Trust me. Keep your eyes open, your chances of catching increase by 10."
tt0104257,"00:08:16,580","00:08:18,247",-Kaffee. -Let's try it again.
tt0104257,"00:08:18,415","00:08:21,417","-Kaffee! -Dave, you seem distraught."
tt0104257,"00:08:21,585","00:08:23,711",We were supposed to meet 15 minutes ago.
tt0104257,"00:08:23,879","00:08:25,754",You're stalling on the McDermott case.
tt0104257,"00:08:25,922","00:08:30,718","We either get it done now, or I'll hang him from a fucking yardarm!"
tt0104257,"00:08:30,886","00:08:34,763",Do we still hang people? from yardarms?
tt0104257,"00:08:34,931","00:08:36,098",I don't think so.
tt0104257,"00:08:36,558","00:08:39,685",Sherby doesn't think we do that anymore.
tt0104257,"00:08:39,853","00:08:43,105",I'll charge him with possession and being under the influence on duty.
tt0104257,"00:08:43,273","00:08:47,443","You plead guilty, I'll recommend 30 days in the brig."
tt0104257,"00:08:47,611","00:08:52,406",-It was 10 dollars' worth of oregano. -Your client thought it was marijuana.
tt0104257,"00:08:52,574","00:08:55,201",My client's a moron. That's not illegal.
tt0104257,"00:08:55,368","00:08:58,621",I got people to answer to. I'm gonna charge him.
tt0104257,"00:08:58,830","00:09:00,956",With possession of a condiment?
tt0104257,"00:09:01,958","00:09:06,253","I tried to help, but if you ask for jail time, I'll file a motion to dismiss."
tt0104257,"00:09:06,421","00:09:08,297",-You won't get it. -I will get it.
tt0104257,"00:09:08,465","00:09:13,010","If not, I'll file a motion seeking to obtain an evidentiary ruling in advance..."
tt0104257,"00:09:13,303","00:09:15,763",...then I'll file against pre-trial confinement.
