IMDB ID,Start Timestamp,End Timestamp,Dialogue
A.Few.Good.Men,"00:00:03,000","00:00:11,500","{\move(10,10,190,230,100,400)\fad(0,1000)\fscx25\fscy25\t(0,6000,\fscx125\fscy125)\c&H000000&\3c&H00FFFF&}anoXmous"
A.Few.Good.Men,"00:00:12,501","00:00:29,202","{\move(400,10,190,270,100,400)\fad(0,1000)\fscx25\fscy25\t(0,6000,\fscx125\fscy125)\c&H000000f&\3c&0000a6&}https://thepiratebay.se/user/anoXmous"
A.Few.Good.Men,"00:04:32,814","00:04:36,317","Captain, I'd like to request that It be me who's the attorney...."
A.Few.Good.Men,"00:04:37,361","00:04:39,946",That it be myself who's assigned....
A.Few.Good.Men,"00:04:40,197","00:04:43,324","No, I'd like to request That it be I who am assigned...."
A.Few.Good.Men,"00:04:44,534","00:04:49,372",“That it be I who am assigned”? That's confidence-inspiring.
A.Few.Good.Men,"00:04:50,207","00:04:53,542","Good grammar, there. Captain, I'd like to request...."
A.Few.Good.Men,"00:05:00,133","00:05:02,718","Lieutenant Commander Galloway, Here to see Captain West."
A.Few.Good.Men,"00:05:02,886","00:05:05,388","-Go right in, they're expecting you. -Thank you."
A.Few.Good.Men,"00:05:09,559","00:05:12,853","-Jo, come on in. -Thank you, sir."
A.Few.Good.Men,"00:05:13,021","00:05:15,398","Captain West, This is Lt. Commander Galloway."
A.Few.Good.Men,"00:05:15,565","00:05:17,858","-You know Commander Lawrence? -Yes, sir."
A.Few.Good.Men,"00:05:18,026","00:05:21,112",-I appreciate you seeing me. -Would you like to sit down?
A.Few.Good.Men,"00:05:21,405","00:05:23,739","-I'm fine, sir. -Have a seat."
A.Few.Good.Men,"00:05:25,409","00:05:30,246","-We've had some trouble in Cuba? -Yes, sir. This past Friday."
A.Few.Good.Men,"00:05:30,414","00:05:34,917","Two Marines, a Lance Corporal Dawson And a Private Downey..."
A.Few.Good.Men,"00:05:35,085","00:05:39,088",...entered the barracks room of a PFC William Santiago and assaulted him.
A.Few.Good.Men,"00:05:39,381","00:05:42,758",Santiago died at the base hospital Approximately an hour later.
A.Few.Good.Men,"00:05:43,010","00:05:46,387",The NIS agent who took Dawson and Downey's statements...
A.Few.Good.Men,"00:05:46,555","00:05:48,806",...maintains they were trying to stop Santiago...
A.Few.Good.Men,"00:05:48,974","00:05:51,642",...from naming Dawson in a fenceline shooting incident.
A.Few.Good.Men,"00:05:51,810","00:05:56,772",-The hearing's in Cuba at 16:00. -What's the problem?
A.Few.Good.Men,"00:05:56,940","00:05:59,442",Dawson and Downey are recruiting-poster Marines.
A.Few.Good.Men,"00:05:59,609","00:06:01,902",Santiago was known to be a screw-up.
A.Few.Good.Men,"00:06:02,070","00:06:04,739",I was thinking it sounded like a Code Red.
A.Few.Good.Men,"00:06:05,782","00:06:07,116",Christ!
A.Few.Good.Men,"00:06:07,284","00:06:10,870","Sir, I'd like to have them moved up to Washington and assigned counsel."
A.Few.Good.Men,"00:06:11,038","00:06:13,122",Someone who can really look into this.
A.Few.Good.Men,"00:06:13,290","00:06:15,624",Someone who possesses not only the legal skill...
A.Few.Good.Men,"00:06:15,834","00:06:18,627",...but a familiarity with the workings of the military.
A.Few.Good.Men,"00:06:18,795","00:06:23,424","In short, I'd like to suggest that I be the one who that--"
A.Few.Good.Men,"00:06:23,592","00:06:28,679","That it be me who is assigned to represent them, myself."
A.Few.Good.Men,"00:06:30,599","00:06:35,144","-Why don't you get a cup of coffee? -Thank you, sir, I'm fine."
A.Few.Good.Men,"00:06:35,312","00:06:38,439","Leave the room, so we can talk about you behind your back."
A.Few.Good.Men,"00:06:39,107","00:06:41,067","Certainly, sir."
A.Few.Good.Men,"00:06:47,491","00:06:50,159",I thought this Code Red shit wasn't going on anymore.
A.Few.Good.Men,"00:06:50,327","00:06:53,454","With the Marines at Gitmo, who knows what the hell goes on there?"
A.Few.Good.Men,"00:06:53,622","00:06:57,458",We'd better find out before the rest of the world does.
A.Few.Good.Men,"00:06:57,667","00:07:00,169",What about this Commander Galloway?
A.Few.Good.Men,"00:07:00,337","00:07:05,466",She's been working a desk at Internal Affairs for a little over a year.
A.Few.Good.Men,"00:07:05,717","00:07:08,469",-Before that? -Disposed of three cases in two years.
A.Few.Good.Men,"00:07:08,678","00:07:11,347","Three in two years? Who's she handling, the Rosenberg’s?"
A.Few.Good.Men,"00:07:11,515","00:07:14,016",-She's not a litigator. -She's a hell of an investigator--
A.Few.Good.Men,"00:07:14,184","00:07:18,687","In Internal Affairs, sure. She can crawl up a lawyer's ass with the best."
A.Few.Good.Men,"00:07:18,855","00:07:22,858","I know, I know, all passion, no street smarts. Bring her back in."
A.Few.Good.Men,"00:07:28,532","00:07:29,740",Jo.
A.Few.Good.Men,"00:07:34,121","00:07:37,498","-We'll have the defendants moved here. -Thank you, sir."
A.Few.Good.Men,"00:07:37,707","00:07:40,126",And I'll have Division assign them counsel.
A.Few.Good.Men,"00:07:41,211","00:07:43,921","But, not me?"
A.Few.Good.Men,"00:07:44,131","00:07:47,508","From what I understand, you're much too valuable..."
A.Few.Good.Men,"00:07:47,676","00:07:52,138",...to be wasted on a five-minute plea bargain and a week's paperwork.
A.Few.Good.Men,"00:07:52,305","00:07:55,683","-Sir, there might be more involved. -Don't worry about it."
A.Few.Good.Men,"00:07:55,892","00:07:58,811",Division will assign the right man for the job.
A.Few.Good.Men,"00:07:58,979","00:08:01,230","All right, let's go, let's get two!"
A.Few.Good.Men,"00:08:02,816","00:08:03,816",Sorry.
A.Few.Good.Men,"00:08:03,984","00:08:07,236","Nothing to be sorry about, Sherby. Look the ball into your glove."
A.Few.Good.Men,"00:08:07,654","00:08:11,490",-Shooting two. -Sorry.
A.Few.Good.Men,"00:08:11,700","00:08:16,412","Trust me. Keep your eyes open, your chances of catching increase by 10."
A.Few.Good.Men,"00:08:16,580","00:08:18,247",-Kaffee. -Let's try it again.
A.Few.Good.Men,"00:08:18,415","00:08:21,417","-Kaffee! -Dave, you seem distraught."
A.Few.Good.Men,"00:08:21,585","00:08:23,711",We were supposed to meet 15 minutes ago.
A.Few.Good.Men,"00:08:23,879","00:08:25,754",You're stalling on the McDermott case.
A.Few.Good.Men,"00:08:25,922","00:08:30,718","We either get it done now, or I'll hang him from a fucking yardarm!"
A.Few.Good.Men,"00:08:30,886","00:08:34,763",Do we still hang people? from yardarms?
A.Few.Good.Men,"00:08:34,931","00:08:36,098",I don't think so.
A.Few.Good.Men,"00:08:36,558","00:08:39,685",Sherby doesn't think we do that anymore.
A.Few.Good.Men,"00:08:39,853","00:08:43,105",I'll charge him with possession and being under the influence on duty.
A.Few.Good.Men,"00:08:43,273","00:08:47,443","You plead guilty, I'll recommend 30 days in the brig."
A.Few.Good.Men,"00:08:47,611","00:08:52,406",-It was 10 dollars' worth of oregano. -Your client thought it was marijuana.
A.Few.Good.Men,"00:08:52,574","00:08:55,201",My client's a moron. That's not illegal.
A.Few.Good.Men,"00:08:55,368","00:08:58,621",I got people to answer to. I'm gonna charge him.
A.Few.Good.Men,"00:08:58,830","00:09:00,956",With possession of a condiment?
A.Few.Good.Men,"00:09:01,958","00:09:06,253","I tried to help, but if you ask for jail time, I'll file a motion to dismiss."
A.Few.Good.Men,"00:09:06,421","00:09:08,297",-You won't get it. -I will get it.
A.Few.Good.Men,"00:09:08,465","00:09:13,010","If not, I'll file a motion seeking to obtain an evidentiary ruling in advance..."
A.Few.Good.Men,"00:09:13,303","00:09:15,763",...then I'll file against pre-trial confinement.
A.Few.Good.Men,"00:09:15,972","00:09:18,307",You'll get three months' paperwork...
A.Few.Good.Men,"00:09:18,475","00:09:21,977",...because a signalman bought and smoked a dime bag of oregano.
A.Few.Good.Men,"00:09:22,312","00:09:24,480",Let's go! Let's get two!
A.Few.Good.Men,"00:09:25,649","00:09:30,402",-Twenty days in the brig. -Fifteen days' restricted duty.
A.Few.Good.Men,"00:09:31,988","00:09:36,242",-I don't know why I'm agreeing. -You have wisdom beyond your years.
A.Few.Good.Men,"00:09:40,288","00:09:43,457","-Good morning. -Good morning, captain."
A.Few.Good.Men,"00:09:43,625","00:09:45,167","How's the baby, Sam?"
A.Few.Good.Men,"00:09:45,335","00:09:50,047",-She'll say her first word any day now. -How can you tell?
A.Few.Good.Men,"00:09:50,257","00:09:53,842",She just looks like she has something to say.
A.Few.Good.Men,"00:09:54,636","00:09:56,512","Excuse me, sorry I'm late."
A.Few.Good.Men,"00:09:56,680","00:10:00,683","You don't have a good excuse, so I won't force you to tell a bad one."
A.Few.Good.Men,"00:10:00,850","00:10:05,062","-Thank you, sir. -This first one's for you."
A.Few.Good.Men,"00:10:05,272","00:10:09,149",You're moving up in the world. You've been requested by Division.
A.Few.Good.Men,"00:10:10,402","00:10:14,405","-Requested to do what? -Guantánamo Bay, Cuba."
A.Few.Good.Men,"00:10:14,572","00:10:17,366",A Marine Corporal named Dawson illegally fires a round...
A.Few.Good.Men,"00:10:17,534","00:10:21,412","...from his weapon, over the fenceline and into Cuba."
A.Few.Good.Men,"00:10:21,705","00:10:23,455",-What's a fenceline? -Sam.
A.Few.Good.Men,"00:10:23,873","00:10:27,710",A big wall separating the good guys from the bad guys.
A.Few.Good.Men,"00:10:27,877","00:10:29,211",Teacher's pet.
A.Few.Good.Men,"00:10:29,379","00:10:32,298",PFC Santiago threatens to rat on Dawson...
A.Few.Good.Men,"00:10:32,465","00:10:34,508",...to the Naval Investigative Service.
A.Few.Good.Men,"00:10:34,676","00:10:38,387","Dawson and another member of his squad, PFC Louden Downey..."
A.Few.Good.Men,"00:10:38,555","00:10:41,724","...go into Santiago's room, tie him up..."
A.Few.Good.Men,"00:10:41,891","00:10:44,184",...stuff a rag down his throat...
A.Few.Good.Men,"00:10:44,352","00:10:46,228","...and an hour later, he's dead."
A.Few.Good.Men,"00:10:46,396","00:10:50,149",Attending physician says the rag was treated with some kind of toxin.
A.Few.Good.Men,"00:10:50,317","00:10:52,901",-They poisoned the rag? -Not according to them.
A.Few.Good.Men,"00:10:53,069","00:10:55,404",-What do they say? -Not much.
A.Few.Good.Men,"00:10:55,697","00:10:58,407",They're being flown up tomorrow. On Wednesday at 06:00...
A.Few.Good.Men,"00:10:58,575","00:11:02,578",...you'll catch a transport down to Cuba to find out what you can.
A.Few.Good.Men,"00:11:02,746","00:11:06,874","Meantime, go and see Lt. Commander Joanne Galloway..."
A.Few.Good.Men,"00:11:07,792","00:11:09,543",...with Internal Affairs.
A.Few.Good.Men,"00:11:09,753","00:11:12,254",-Any questions? -The flight to Cuba...
A.Few.Good.Men,"00:11:12,422","00:11:15,257","...was that 06:00 in the morning, sir?"
A.Few.Good.Men,"00:11:16,468","00:11:21,263","It's important this one go by the book, so I'm assigning co-counsel."
A.Few.Good.Men,"00:11:21,431","00:11:22,890",Any volunteers?
A.Few.Good.Men,"00:11:24,100","00:11:25,434",-No. -Sam....
A.Few.Good.Men,"00:11:25,602","00:11:28,854","-Sir, I got a stack of papers-- -Work with Kaffee on this."
A.Few.Good.Men,"00:11:29,022","00:11:31,857",Doing what? He'll have this done in four days.
A.Few.Good.Men,"00:11:32,025","00:11:37,196",Doing various administrative things. Backup. Whatever.
A.Few.Good.Men,"00:11:37,364","00:11:39,907","In other words, I have no responsibilities?"
A.Few.Good.Men,"00:11:40,075","00:11:41,200",Right.
A.Few.Good.Men,"00:11:41,368","00:11:43,494",My kind of case.
A.Few.Good.Men,"00:11:44,788","00:11:49,249","Right. Right. Okay, but I gotta have that report by Wednesday."
A.Few.Good.Men,"00:11:55,673","00:11:58,300",-Hi. -Hold on. Hi.
A.Few.Good.Men,"00:11:58,468","00:12:02,638",Daniel Kaffee. I was told to meet with...
A.Few.Good.Men,"00:12:08,311","00:12:11,105",...Lieutenant Commander Galloway.
A.Few.Good.Men,"00:12:13,483","00:12:17,611",-About a briefing. -I'll call you back.
A.Few.Good.Men,"00:12:19,531","00:12:21,281",You're the attorney Division assigned?
A.Few.Good.Men,"00:12:22,200","00:12:24,201","I'm lead counsel, this is Sam Weinberg."
A.Few.Good.Men,"00:12:24,411","00:12:28,622",-I have no responsibilities whatsoever. -Come in. Have a seat.
A.Few.Good.Men,"00:12:39,175","00:12:44,805",-How long have you been in the Navy? -Going on nine months now.
A.Few.Good.Men,"00:12:45,557","00:12:48,517",And how long have you been out of law school?
A.Few.Good.Men,"00:12:48,685","00:12:50,144",Little over a year.
A.Few.Good.Men,"00:12:50,311","00:12:53,939",-I see. -Have I done something wrong?
A.Few.Good.Men,"00:12:54,107","00:12:59,445","No. But when I asked for counsel, I was hoping to be taken seriously."
A.Few.Good.Men,"00:13:00,029","00:13:02,197","No offense taken, in case you were wondering."
A.Few.Good.Men,"00:13:02,365","00:13:06,368",Lieutenant Kaffee is considered the best litigator in our office.
A.Few.Good.Men,"00:13:06,536","00:13:09,872",He successfully plea-bargained 44 cases in nine months.
A.Few.Good.Men,"00:13:10,039","00:13:13,834","-One more, I get a set of steak knives. -Have you ever been in court?"
A.Few.Good.Men,"00:13:14,002","00:13:16,503",-I once had my license suspended.... -Danny.
A.Few.Good.Men,"00:13:16,671","00:13:20,716","If this thing goes to court, they won't need a lawyer, they'll need a priest."
A.Few.Good.Men,"00:13:21,342","00:13:24,386","No, they'll need a lawyer."
A.Few.Good.Men,"00:13:24,554","00:13:30,017",Dawson's family's been contacted. Downey's closest relative is his aunt.
A.Few.Good.Men,"00:13:30,185","00:13:32,978","She hasn't been contacted yet, would you like me to do that?"
A.Few.Good.Men,"00:13:33,146","00:13:34,563","Sure, if you feel like it."
A.Few.Good.Men,"00:13:36,399","00:13:40,402","One of the people you'll be seeing is the barracks CO, Colonel Jessep."
A.Few.Good.Men,"00:13:40,570","00:13:42,613",I assume you've heard of him.
A.Few.Good.Men,"00:13:42,780","00:13:45,199",Who hasn't?
A.Few.Good.Men,"00:13:45,366","00:13:46,909",He's been in the papers lately.
A.Few.Good.Men,"00:13:47,076","00:13:48,994",He's expected to be director of operations...
A.Few.Good.Men,"00:13:49,162","00:13:50,704",...of the National Security Council.
A.Few.Good.Men,"00:13:50,872","00:13:54,416",-Really? -Here are Santiago's letters from Gitmo.
A.Few.Good.Men,"00:13:54,584","00:13:57,252",-That's Guantánamo Bay. -I knew that one.
A.Few.Good.Men,"00:13:57,420","00:13:58,921","He wrote the fleet commander, HQ Atlantic..."
A.Few.Good.Men,"00:13:59,088","00:14:02,090","...the Marine commandant, even his senator."
A.Few.Good.Men,"00:14:02,258","00:14:05,552",He wanted to be transferred. No one was listening. Are you with me?
A.Few.Good.Men,"00:14:05,720","00:14:07,262",Yeah.
A.Few.Good.Men,"00:14:08,723","00:14:10,933",Finally he wrote the Naval Investigative Service...
A.Few.Good.Men,"00:14:11,100","00:14:16,563",...where he offered to trade information about Dawson's shooting for a transfer.
A.Few.Good.Men,"00:14:17,232","00:14:19,274",Right. Is that all?
A.Few.Good.Men,"00:14:19,442","00:14:23,779",This letter makes it look like your client had a motive to kill Santiago.
A.Few.Good.Men,"00:14:23,947","00:14:28,784",-Got you. And Santiago is who? -The victim.
A.Few.Good.Men,"00:14:28,952","00:14:30,285",Write that down.
A.Few.Good.Men,"00:14:30,453","00:14:34,456",These letters don't paint a flattering picture of Marine Corps life at Gitmo?
A.Few.Good.Men,"00:14:34,624","00:14:35,958","-Yes, amon-- -And am I right..."
A.Few.Good.Men,"00:14:36,125","00:14:39,878",...that a protracted investigation might embarrass the Security Council guy?
A.Few.Good.Men,"00:14:40,046","00:14:42,673",-Colonel Jessep-- -Twelve years.
A.Few.Good.Men,"00:14:42,840","00:14:43,966",I'm sorry?
A.Few.Good.Men,"00:14:44,133","00:14:48,053",I'll get them to drop “conspiracy” and “conduct unbecoming.” Twelve years.
A.Few.Good.Men,"00:14:48,680","00:14:51,723",You haven't talked to a witness or looked at a piece of paper.
A.Few.Good.Men,"00:14:52,141","00:14:53,892","Pretty impressive, huh?"
A.Few.Good.Men,"00:14:54,060","00:14:55,644",You'll have to go deeper than that.
A.Few.Good.Men,"00:14:55,812","00:14:58,480",Do you have some jurisdiction here I should know about?
A.Few.Good.Men,"00:14:58,648","00:15:01,275",My job is to make sure that you do your job.
A.Few.Good.Men,"00:15:01,442","00:15:06,822",I'm special counsel for Internal Affairs. So my jurisdiction's in your face.
A.Few.Good.Men,"00:15:09,075","00:15:12,077",Read the letters. I'll expect a report when you return from Cuba.
A.Few.Good.Men,"00:15:12,620","00:15:14,830",-Sure. -You're dismissed!
A.Few.Good.Men,"00:15:17,041","00:15:19,418",I always forget that part.
A.Few.Good.Men,"00:15:21,337","00:15:23,714",He's a little preoccupied.
A.Few.Good.Men,"00:15:23,881","00:15:26,842",Team's playing Bethesda Medical next week.
A.Few.Good.Men,"00:15:27,010","00:15:31,597",Tell your friend not to get cute. Guantánamo Marines are fanatical.
A.Few.Good.Men,"00:15:31,764","00:15:35,350",-About what? -About being Marines.
A.Few.Good.Men,"00:15:35,518","00:15:39,313","Dear sir, my name is PFC William T. Santiago."
A.Few.Good.Men,"00:15:39,480","00:15:41,523",I'm a Marine stationed at Marine barracks...
A.Few.Good.Men,"00:15:41,691","00:15:45,152","...Rifle Security Company Windward, 2nd Platoon Bravo."
