IMDB ID,Start Timestamp,End Timestamp,Dialogue
Forrest.Gump,"00:03:17,948","00:03:19,189",Hello.
Forrest.Gump,"00:03:20,158","00:03:22,821",My name's Forrest. Forrest Gump.
Forrest.Gump,"00:03:28,375","00:03:30,412",Do you want a chocolate?
Forrest.Gump,"00:03:33,004","00:03:36,418",I could eat about a million and a half of these.
Forrest.Gump,"00:03:37,592","00:03:42,804",My mama always said life was like a box of chocolates.
Forrest.Gump,"00:03:44,808","00:03:47,676",You never know what you're gonna get.
Forrest.Gump,"00:03:54,901","00:03:57,439",Those must be comfortable shoes.
Forrest.Gump,"00:03:58,822","00:04:03,487",I'll bet you could walk all day in shoes like that and not feel a thing.
Forrest.Gump,"00:04:05,704","00:04:08,162",I wish I had shoes like that.
Forrest.Gump,"00:04:08,832","00:04:10,368",My feet hurt.
Forrest.Gump,"00:04:11,585","00:04:13,247",Mama always said there's an awful lot
Forrest.Gump,"00:04:13,336","00:04:16,545",you could tell about a person by their shoes:
Forrest.Gump,"00:04:17,674","00:04:20,633","where they're going, where they've been."
Forrest.Gump,"00:04:27,893","00:04:29,930",I've worn lots of shoes.
Forrest.Gump,"00:04:33,064","00:04:37,855","I bet if I think about it real hard, I could remember my first pair of shoes."
Forrest.Gump,"00:04:40,781","00:04:43,398",Mama said they'd take me anywhere.
Forrest.Gump,"00:04:44,201","00:04:46,818",<i>She said they was my magic shoes.</i>
Forrest.Gump,"00:04:46,912","00:04:50,076","All right, Forrest, you can open your eyes now."
Forrest.Gump,"00:04:57,380","00:04:59,838",Let's take a little walk around.
Forrest.Gump,"00:05:06,640","00:05:08,427",How do those feel?
Forrest.Gump,"00:05:11,394","00:05:13,556","His legs are strong, Mrs. Gump,"
Forrest.Gump,"00:05:13,647","00:05:16,139","as strong as I've ever seen,"
Forrest.Gump,"00:05:16,233","00:05:19,601",but his back is as crooked as a politician.
Forrest.Gump,"00:05:20,904","00:05:23,988","But we're gonna straighten him right up, now, aren't we, Forrest?"
Forrest.Gump,"00:05:24,074","00:05:25,190",Forrest!
Forrest.Gump,"00:05:26,701","00:05:27,908","<i>Now, when I was a baby,</i>"
Forrest.Gump,"00:05:27,994","00:05:30,828","<i>Mama named me after the great Civil War hero,</i>"
Forrest.Gump,"00:05:30,914","00:05:33,327",<i>General Nathan Bedford Forrest.</i>
Forrest.Gump,"00:05:33,416","00:05:35,624",<i>She said we was related to him in some way.</i>
Forrest.Gump,"00:05:35,710","00:05:37,076","<i>And what he did was,</i>"
Forrest.Gump,"00:05:37,170","00:05:41,414",<i>he started up this club called the Ku Klux Klan.</i>
Forrest.Gump,"00:05:41,508","00:05:44,842",<i>They'd all dress up in theirrobes and their bed sheets</i>
Forrest.Gump,"00:05:44,928","00:05:49,263",<i>and act like a bunch of ghosts or spooks or something.</i>
Forrest.Gump,"00:05:49,349","00:05:53,218",<i>They'd even put bed sheets on their horses and ride around.</i>
Forrest.Gump,"00:05:53,311","00:05:56,349","<i>And anyway, that's how I got my name,</i>"
Forrest.Gump,"00:05:56,439","00:05:57,850",<i>Forrest Gump.</i>
Forrest.Gump,"00:05:57,941","00:05:59,682","<i>Mama said that the ""Forrest"" part</i>"
