IMDB ID,Start Timestamp,End Timestamp,Dialogue
Inception,"00:01:33,452","00:01:38,459",He was delirious. But asked for you by name.
Inception,"00:01:40,458","00:01:42,058",Show him.
Inception,"00:01:43,357","00:01:46,059",He was carrying nothing but this....
Inception,"00:01:47,462","00:01:49,062",... and this.
Inception,"00:02:10,104","00:02:12,834",Are you here to kill me?
Inception,"00:02:20,514","00:02:23,005",I know what this is.
Inception,"00:02:24,085","00:02:29,250","I've seen one before. Many, many years ago."
Inception,"00:02:30,858","00:02:35,761",It belonged to a man I met in a half-remembered dream.
Inception,"00:02:37,765","00:02:42,862",A man possessed of some radical notions.
Inception,"00:02:46,741","00:02:49,608",What is the most resilient parasite?
Inception,"00:02:49,877","00:02:53,244",A bacteria? A virus?
Inception,"00:02:53,814","00:02:55,076",An intestinal worm?
Inception,"00:02:55,416","00:02:56,644",Uh...
Inception,"00:02:56,817","00:02:58,444",What Mr. Cobb is trying to say-
Inception,"00:02:58,619","00:02:59,813",An idea.
Inception,"00:03:01,122","00:03:03,613",Resilient. Highly contagious.
Inception,"00:03:03,791","00:03:07,784","Once an idea has taken hold of the brain, it's almost impossible to eradicate."
Inception,"00:03:08,229","00:03:12,495","An idea that is fully formed, fully understood, that sticks."
Inception,"00:03:12,667","00:03:13,895",Right in there somewhere.
Inception,"00:03:14,068","00:03:15,626",For someone like you to steal?
Inception,"00:03:15,803","00:03:18,738","Yes. In the dream state, your conscious defenses are lowered..."
Inception,"00:03:18,906","00:03:21,340",...and that makes your thoughts vulnerable to theft.
Inception,"00:03:21,509","00:03:22,737",It's called extraction.
Inception,"00:03:22,910","00:03:26,471","Mr. Saito, we can train your subconscious to defend itself..."
Inception,"00:03:26,647","00:03:29,138",...from even the most skilled extractor.
Inception,"00:03:29,317","00:03:30,477",How can you do that?
Inception,"00:03:30,651","00:03:33,484",Because I am the most skilled extractor.
Inception,"00:03:33,955","00:03:37,356",I know how to search your mind and find your secrets. I know the tricks.
Inception,"00:03:37,525","00:03:40,460","And I can teach them to you, so that even when you're asleep..."
Inception,"00:03:40,628","00:03:42,960",...your defense is never down.
Inception,"00:03:43,864","00:03:47,766","Look, if you want my help, you're gonna have to be completely open with me."
Inception,"00:03:47,935","00:03:51,302",I need to know my way around your thoughts better than your wife...
Inception,"00:03:51,472","00:03:53,770","...better than your therapist, better than anyone."
Inception,"00:03:54,208","00:03:56,870","If this is a dream, and you have a safe full of secrets..."
Inception,"00:03:57,044","00:03:59,376",...I need to know what's in that safe.
Inception,"00:03:59,547","00:04:03,005","In order for this all to work, you need to completely let me in."
Inception,"00:04:05,886","00:04:10,516","Enjoy your evening, gentlemen, as I consider your proposal."
Inception,"00:04:12,994","00:04:14,018",He knows.
Inception,"00:04:17,064","00:04:18,531",What's going on up there?
Inception,"00:05:12,787","00:05:15,381",Saito knows. He's playing with us.
Inception,"00:05:15,790","00:05:18,122",Doesn't matter. I can get it here. Trust me.
Inception,"00:05:18,292","00:05:19,782",The information is in the safe.
Inception,"00:05:19,960","00:05:22,121",He looked right at it when I mentioned secrets.
Inception,"00:05:23,497","00:05:24,521",What's she doing here?
Inception,"00:05:27,468","00:05:30,335",Just head back to the room. All right? I'll take care of this.
Inception,"00:05:30,504","00:05:32,529","Okay, make sure you do. We're here to work."
Inception,"00:05:40,981","00:05:45,645","If I jumped, would I survive?"
Inception,"00:05:48,022","00:05:50,422","With a clean dive, perhaps."
