Start Timestamp,End Timestamp,Dialogue
"00:00:58,717","00:01:02,717",
"00:01:14,657","00:01:17,203",My dad was a farmer.
"00:01:18,098","00:01:21,270",Like everybody else back then.
"00:01:22,926","00:01:25,125",Of course he didn't start that way.
"00:01:30,453","00:01:32,607",The computer says you're too tight.
"00:01:32,716","00:01:35,568","No, I got this! -Crossing the Straits."
"00:01:38,345","00:01:40,226",I've got to shut it down Cooper. -Heyyy.
"00:01:41,543","00:01:44,279","Shutting all down... -Hey, we do not have to shut down  anything!"
"00:01:48,279","00:01:49,339",Dad?
"00:01:54,771","00:01:58,747",Sorry Murph. Go back to bed babe.
"00:01:58,900","00:02:00,458",I thought you were the ghost.
"00:02:03,017","00:02:07,082",There's no such thing as a ghost babe. -Grandpa says that you can get ghosts.
"00:02:08,349","00:02:10,854","No, that's because grandpa is too close to..."
"00:02:10,969","00:02:13,530",...being one himself. Go back to bed.
"00:02:13,716","00:02:15,577",Were you dreaming about the crash?
"00:02:16,875","00:02:19,465",Get your butt back in bed Murph.
"00:02:45,531","00:02:48,068",The wheat had died.
"00:02:48,179","00:02:52,224",The blight came and we had to burn it. We still had corn.
"00:02:52,304","00:02:57,141",We had acres of corn. But mostly we had dust.
"00:02:59,680","00:03:02,317",I guess I can't describe it. It was just constant.
"00:03:02,428","00:03:06,801","Just that, steady blow of dirt."
"00:03:08,279","00:03:11,245",We wore little strips of sheet...
"00:03:11,362","00:03:16,312",...sometimes over our nose and mouth. So we wouldn't breathe so much of it.
"00:03:18,290","00:03:22,216",Well when we set the table we always set the plate upside down.
"00:03:22,367","00:03:24,938","Glasses or cups, whatever it was, upside down."
"00:03:30,482","00:03:34,570","Shake a leg. Murph, get your move on. -One o'clock today, you and me..."
"00:03:34,570","00:03:38,146","...in the barn, Herbicide Resistance 101, check? -Yessir."
"00:03:39,841","00:03:41,059",Not at the table Murph!
"00:03:42,081","00:03:43,761","Dad, can you fix this?"
"00:03:45,164","00:03:48,189",What the heck did you do to my lander? -It wasn't me.
"00:03:48,268","00:03:51,945",Let me guess. It was your ghost. -It knocked it off my shelf.
"00:03:52,019","00:03:54,753",It also knocks the books off. -There's no such thing as ghosts dumbass.
"00:03:54,866","00:03:57,030","Hey. -I looked it up, it's called a poltergeist."
"00:03:57,109","00:04:00,740","Dad, tell her. -Well, that's not very scientific Murph."
"00:04:00,853","00:04:04,637",You said that science was about admitting what we don't know. -She's got you there.
"00:04:04,750","00:04:06,841","Hey, start looking after all our stuff."
"00:04:08,500","00:04:09,580",Coop.
"00:04:11,852","00:04:14,373","Alright Murph, you wanna talk science?"
"00:04:14,913","00:04:18,846","Don't just tell me that you're afraid of some ghost. No, you gotta go further."
"00:04:18,959","00:04:21,079","You have to record the facts, analyze..."
"00:04:21,188","00:04:25,391",...get to the how and the why and present your conclusions. Deal?
"00:04:25,504","00:04:27,765",Deal. -All right!
"00:04:29,626","00:04:32,292",Have a good day at school. -Hold up.
"00:04:32,364","00:04:36,636","Parent-Teacher conferences, parent, not grandparent."
"00:04:39,510","00:04:43,625",Slow down turbo. That's not a dust storm.
"00:04:43,731","00:04:46,708",Nelson's torching his whole crop. -Blight?
"00:04:46,828","00:04:51,364",They're saying it's the last harvest for okra. Ever.
"00:04:53,249","00:04:58,147",He should have planted corn like the rest of us. -Now you be nice to that Miss Hanley.
"00:04:58,260","00:05:00,603",She's single. -Well what's that supposed to mean?
"00:05:00,713","00:05:03,977",Repopulating the Earth. -Start pulling your weight young man.
"00:05:04,053","00:05:08,176",Why don't you start minding your own business? Old man!
"00:05:15,284","00:05:16,767",All right Murph give me second.
"00:05:18,298","00:05:21,771","Aha,....thirrrd."
"00:05:22,781","00:05:26,707",Find a gear dumbass. -Grind it! -Shut it Tom!
"00:05:27,611","00:05:30,504","Whatcha do Murph? -Ahh, she didn't do nothing."
"00:05:30,587","00:05:34,172",Blew a tire is all. -Murphy's Law. -Shut up!
"00:05:34,253","00:05:37,076",Grab the spare Tom. -That is the spare.
"00:05:37,185","00:05:40,278",Get the patch kit.
"00:05:41,765","00:05:43,895",And how am I supposed to patch it out here?
"00:05:43,968","00:05:47,372",You'll have to figure it out. I'm not always gonna be here to help you.
"00:05:54,874","00:05:57,767",What's goin' on Murph?
"00:05:57,842","00:06:02,567",Why did you and mom name me after something that's bad? -No we didn't?
"00:06:02,641","00:06:04,473",Murphy's Law?
"00:06:05,847","00:06:08,721",Murphy's Law doesn't mean that something bad...
"00:06:08,831","00:06:11,637",...will happen. What it means is whatever can happen...
"00:06:11,638","00:06:15,346",...will happen. And that sounded just fine with us.
"00:06:21,293","00:06:23,131",Get in.
"00:06:24,612","00:06:25,838","Get in, let's go."
"00:06:27,216","00:06:29,701",What about the flat tire?
"00:06:32,347","00:06:33,223",Yes.
"00:06:47,437","00:06:52,208",It is an Indian Air Force drone. Solar cells could power an entire farm.
"00:06:52,320","00:06:53,221",Take the wheel Tom.
"00:06:58,482","00:07:01,366","Go, go go!"
"00:07:01,455","00:07:03,075",Keep it pointed at that.
"00:07:11,073","00:07:14,007","Faster Tom, we're losing it. -Yes."
"00:07:14,085","00:07:15,956",Point right at it.
"00:07:17,219","00:07:21,361","Hang on, here we go, here we go."
"00:07:29,433","00:07:31,405",Nice driving Tom.
"00:07:38,050","00:07:42,280","Dad? -Almost got it, don't stop, don't stop."
"00:07:42,389","00:07:45,332",Dad?! Tom!!!
"00:07:50,112","00:07:52,092",Wha..? You told me to keep driving.
"00:07:53,533","00:07:57,566",Well I guess that answers the ol' 'if I ask you to drive off a cliff' scenario.
"00:08:00,344","00:08:03,662",We lost it. -No we didn't!
"00:08:15,414","00:08:18,010",Wanna give it a whirl?
"00:08:24,455","00:08:25,391",
"00:07:41,735","00:07:42,971",
"00:07:43,871","00:07:47,400","Let's land it down there, right at the edge of the reservoir."
"00:08:40,465","00:08:42,082",Nicely done!
"00:08:44,200","00:08:46,975",How long do you think it's been up there?
"00:08:47,053","00:08:50,925","Delhi Mission Control went down same as ours, 10 years ago."
"00:08:52,299","00:08:53,701",So for 10 years?
"00:08:56,615","00:08:59,354",Why'd it come down so low? -I don't know.
"00:08:59,466","00:09:03,604",Maybe the sun cooked it's brain or it was looking for something. -What?
"00:09:03,717","00:09:07,150",Give me that large flatblade Maybe some kind of signal.
"00:09:07,259","00:09:08,441",I don't know.
"00:09:13,532","00:09:15,073",What are you gonna do with it?
"00:09:15,153","00:09:19,009",I'm gonna give it something socially responsible to do...
"00:09:19,044","00:09:23,574","...like driving a combine. -Can't we just, let it go?"
"00:09:25,151","00:09:27,027",It wasn't hurting anybody.
"00:09:29,079","00:09:33,172","Listen, this thing needs to learn how to adapt Murph, like the rest of us."
"00:09:37,351","00:09:40,989",So how's this work? Do you guys come with? -I've got class.
"00:09:41,067","00:09:43,554","This one, needs to wait."
"00:09:43,627","00:09:47,782",What did you do? -They'll tell you about it when you get in there.
"00:09:47,859","00:09:50,353",Well am I gonna be mad? -Not with me.
"00:09:50,462","00:09:51,756","Just please, try not to."
"00:09:51,872","00:09:55,766","Hey, relax....I got this."
"00:10:00,253","00:10:03,647","You're late Coop. -Yeah, we had a flat."
