IMDB ID,Start Timestamp,End Timestamp,Dialogue
The.Avengers,"00:00:28,500","00:00:32,457",<i>The Tesseract has awakened.</i>
The.Avengers,"00:00:33,297","00:00:38,255","It is on a little world, a human world."
The.Avengers,"00:00:38,970","00:00:42,302","They would wield its power,"
The.Avengers,"00:00:42,681","00:00:48,351",but our ally knows its workings as they never will.
The.Avengers,"00:00:49,897","00:00:52,981",<i>He is ready to lead</i>
The.Avengers,"00:00:53,192","00:00:58,613","<i>and our force, our Chitauri, will follow.</i>"
The.Avengers,"00:01:00,241","00:01:02,614",<i>A world will be his.</i>
The.Avengers,"00:01:02,827","00:01:05,947","<i>The universe, yours.</i>"
The.Avengers,"00:01:06,164","00:01:12,036","<i>And the humans, what can they do but burn?</i>"
The.Avengers,"00:01:26,268","00:01:27,347","<i>All personnel,</i>"
The.Avengers,"00:01:27,519","00:01:29,808",<i>the evacuation order has been confirmed.</i>
The.Avengers,"00:02:01,722","00:02:03,180",How bad is it?
The.Avengers,"00:02:03,389","00:02:06,675","That's the problem, sir. We don't know."
The.Avengers,"00:02:10,271","00:02:13,189",Dr Selvig read an energy surge from the Tesseract four hours ago.
The.Avengers,"00:02:13,316","00:02:15,190",NASA didn't authorise Selvig to go to test phase.
The.Avengers,"00:02:15,402","00:02:17,560",He wasn't testing it. He wasn't even in the room.
The.Avengers,"00:02:17,779","00:02:18,775",Spontaneous event.
The.Avengers,"00:02:18,947","00:02:20,062",It just turned itself on?
The.Avengers,"00:02:20,282","00:02:21,313",Where are the energy levels now?
The.Avengers,"00:02:21,533","00:02:23,692","Climbing. When Selvig couldn't shut it down, we ordered evac."
The.Avengers,"00:02:23,911","00:02:25,109",How long to get everyone out?
The.Avengers,"00:02:25,329","00:02:26,658",Campus should be clear in the next half-hour.
The.Avengers,"00:02:26,872","00:02:28,117",Do better.
The.Avengers,"00:02:29,083","00:02:31,039","Sir, evacuation may be futile."
The.Avengers,"00:02:31,251","00:02:32,626",We should tell them to go back to sleep?
The.Avengers,"00:02:32,836","00:02:35,043","If we can't control the Tesseract's energy,"
The.Avengers,"00:02:35,255","00:02:37,581",there may not be a minimum safe distance.
The.Avengers,"00:02:37,716","00:02:38,748",I need you to make sure
The.Avengers,"00:02:38,884","00:02:40,544",the Phase 2 prototypes are shipped out.
The.Avengers,"00:02:40,720","00:02:42,759","Sir, is that really a priority right now?"
The.Avengers,"00:02:42,972","00:02:44,680","Until such time as the world ends,"
The.Avengers,"00:02:44,807","00:02:46,847",we will act as though it intends to spin on.
The.Avengers,"00:02:47,810","00:02:49,186",Clear out the tech below.
The.Avengers,"00:02:49,395","00:02:51,887",Every piece of Phase 2 on a truck and gone.
The.Avengers,"00:02:52,107","00:02:53,186","Yes, sir."
The.Avengers,"00:02:53,608","00:02:54,771",With me.
The.Avengers,"00:02:57,862","00:02:58,858","Talk to me, Doctor."
The.Avengers,"00:03:00,656","00:03:02,032",Director.
The.Avengers,"00:03:02,241","00:03:03,902",Is there anything we know for certain?
The.Avengers,"00:03:04,118","00:03:06,360",The Tesseract is misbehaving.
The.Avengers,"00:03:06,579","00:03:09,367","- Is that supposed to be funny? - No, it's not funny at all."
The.Avengers,"00:03:09,583","00:03:13,082","The Tesseract is not only active, she's behaving."
The.Avengers,"00:03:13,295","00:03:14,291",I assume you pulled the plug.
The.Avengers,"00:03:14,505","00:03:16,213",She's an energy source.
