Start Timestamp,End Timestamp,Dialogue
"00:01:16,820","00:01:19,660",I believe in America.
"00:01:19,740","00:01:22,700",America has made my fortune.
"00:01:22,790","00:01:26,920",And I raised my daughter in the American fashion.
"00:01:27,000","00:01:31,840","I gave her freedom, but I taught her never to dishonor her family."
"00:01:33,300","00:01:36,420","She found a boyfriend, not an Italian."
"00:01:36,510","00:01:40,930",She went to the movies with him. She stayed out late.
"00:01:41,010","00:01:42,720",I didn't protest.
"00:01:43,810","00:01:48,520",Two months ago he took her for a drive with another boyfriend.
"00:01:49,560","00:01:52,190",They made her drink whiskey
"00:01:52,270","00:01:56,650",and then they tried to take advantage of her.
"00:01:56,740","00:02:00,870","She resisted, she kept her honor."
"00:02:02,200","00:02:05,200",So they beat her like an animal.
"00:02:07,040","00:02:12,000","When I went to the hospital, her nose was broken,"
"00:02:12,090","00:02:16,550","her jaw was shattered, held together by wire."
"00:02:18,760","00:02:22,180",She couldn't even weep because of the pain.
"00:02:24,220","00:02:27,730",But I wept. Why did I weep?
"00:02:30,400","00:02:32,730",She was the light of my life.
"00:02:34,690","00:02:36,400",Beautiful girl.
"00:02:40,070","00:02:43,030",Now she will never be beautiful again.
"00:02:49,580","00:02:50,960",Sorry.
"00:02:59,260","00:03:03,930","I went to the police, like a good American."
"00:03:04,010","00:03:06,680",These two boys were brought to trial.
"00:03:07,770","00:03:10,560","The judge sentenced them to three years in prison,"
"00:03:10,640","00:03:12,770",but suspended the sentence.
"00:03:13,940","00:03:18,940",Suspended the sentence! They went free that very day!
"00:03:21,240","00:03:24,530",I stood in the courtroom like a fool.
"00:03:24,620","00:03:28,120","Those two bastards, they smiled at me."
"00:03:29,370","00:03:34,960","Then I said to my wife, ""For justice, we must go to Don Corleone."""
"00:03:40,380","00:03:44,760",Why did you go to the police? Why didn't you come to me first?
"00:03:44,890","00:03:50,980","What do you want of me? Tell me anything, but do what I beg you to do."
"00:03:51,060","00:03:52,730",What is that?
"00:04:03,860","00:04:05,700",I want them dead.
"00:04:17,340","00:04:19,130",That I cannot do.
"00:04:20,460","00:04:22,970",I'll give you anything you ask.
"00:04:25,260","00:04:30,890","I've known you many years, but this is the first time you've asked for help."
"00:04:32,060","00:04:37,110",I can't remember the last time you invited me for a cup of coffee.
"00:04:38,270","00:04:42,030",Even though my wife is godmother to your only child.
"00:04:42,110","00:04:47,120",But let's be Frank here. You never wanted my friendship.
"00:04:47,200","00:04:50,950",And you were afraid to be in my debt.
"00:04:51,040","00:04:53,450",I didn't want to get into trouble.
"00:04:54,580","00:04:56,210",I understand.
"00:04:57,710","00:05:00,590",You found Paradise in America.
"00:05:02,880","00:05:07,550","You made a good living, had police protection and there were courts of law."
"00:05:07,640","00:05:10,350",You didn't need a friend like me.
