Start Timestamp,End Timestamp,Dialogue
"00:00:05,000","00:00:10,000",<b>Ripped by alavraza</b>
"00:00:47,812","00:00:51,088",<i>- Is everything in place? - You weren 't supposed to relieve me.</i>
"00:00:51,332","00:00:53,846","<i>I know, but I felt like taking a shift.</i>"
"00:00:54,372","00:00:56,647","<i>You like him, don 't you? You like watching him.</i>"
"00:00:56,892","00:00:59,770",<i>- Don 't be ridiculous. - We're gonna kill him. You understand?</i>
"00:01:00,012","00:01:02,401",<i>Morpheus believes he is the One.</i>
"00:01:02,652","00:01:03,482",<i>Do you?</i>
"00:01:03,732","00:01:05,450",<i>It doesn 't matter what I believe.</i>
"00:01:05,692","00:01:07,250","<i>You don 't, do you?</i>"
"00:01:07,492","00:01:09,483",<i>- Did you hear that? - Hear what?</i>
"00:01:09,732","00:01:11,245",<i>Are you sure this line is clean?</i>
"00:01:11,492","00:01:13,403","<i>Yeah, of course I'm sure.</i>"
"00:01:13,732","00:01:15,131",<i>I better go.</i>
"00:01:51,532","00:01:53,250",- Freeze! Police! - Hands on your head!
"00:01:53,772","00:01:54,807",Do it! Do it now!
"00:02:15,332","00:02:16,606",Lieutenant.
"00:02:16,892","00:02:17,847","Oh, shit."
"00:02:18,652","00:02:21,724","Lieutenant, you were given specific orders."
"00:02:21,972","00:02:23,610",I'm just doing my job.
"00:02:24,212","00:02:28,444","You give me that ""juris-my-dick-tion"" crap, you can cram it up your ass."
"00:02:28,892","00:02:31,281",The orders were for your protection.
"00:02:32,732","00:02:34,848",I think we can handle one little girl.
"00:02:39,772","00:02:41,444",I sent two units!
"00:02:41,692","00:02:43,205",They're bringing her down now!
"00:02:43,452","00:02:46,444","No, Lieutenant, your men are already dead."
"00:03:14,645","00:03:15,441",Shit.
"00:03:17,885","00:03:20,160","Morpheus, the line was traced. I don't know how."
"00:03:20,405","00:03:21,918",<i>I know. They cut the hard line.</i>
"00:03:22,165","00:03:24,235",<i>There's no time. Get to another exit.</i>
"00:03:24,485","00:03:25,804",Are there any agents?
"00:03:26,005","00:03:26,801",<i>Yes.</i>
"00:03:27,005","00:03:28,120",Goddamn it.
"00:03:28,365","00:03:29,844","<i>You have to focus, Trinity.</i>"
"00:03:30,085","00:03:32,360",<i>There's a phone at Wells and Lake.</i>
"00:03:32,725","00:03:34,317",<i>You can make it.</i>
"00:03:34,565","00:03:36,157",<i>- All right. - Go.</i>
"00:04:35,765","00:04:36,754",That's impossible.
"00:05:10,325","00:05:12,281","Get up, Trinity. Just get up."
"00:05:12,885","00:05:14,034",Get up.
"00:05:58,045","00:05:59,478",She got out.
"00:05:59,765","00:06:00,993",It doesn't matter.
"00:06:01,245","00:06:03,236",The informant is real.
"00:06:04,525","00:06:06,117",We have the name of their next target.
"00:06:06,365","00:06:07,957",The name is Neo.
"00:06:11,125","00:06:12,558",We'll need a search running.
"00:06:12,845","00:06:14,676",It has already begun.
"00:07:07,205","00:07:08,354",What?
"00:07:13,885","00:07:15,318",What the hell?
"00:07:22,645","00:07:24,522","""Follow the white rabbit."""
"00:07:35,885","00:07:37,000",Who is it?
"00:07:37,245","00:07:38,473",It's Choi.
"00:07:51,445","00:07:52,560",You're two hours late.
"00:07:53,125","00:07:54,797",I know. It's her fault.
"00:07:55,085","00:07:55,995",You got the money?
"00:07:58,045","00:07:59,160",Two grand.
"00:08:00,005","00:08:01,074",Hold on.
"00:08:18,045","00:08:19,364",Hallelujah.
"00:08:19,605","00:08:22,358",You're my savior. My own personal Jesus Christ.
"00:08:22,605","00:08:24,402",You get caught using that...
"00:08:24,645","00:08:26,681",I know. This never happened. You don't exist.
"00:08:27,765","00:08:29,756","- Right. - Something wrong, man?"
"00:08:30,005","00:08:31,961",You look a little whiter than usual.
"00:08:33,045","00:08:35,115","My computer, it..."
"00:08:38,005","00:08:42,362",Ever have that feeling where you're not sure if you're awake or dreaming?
"00:08:43,125","00:08:45,764",All the time. It's called mescaline.
"00:08:46,245","00:08:48,281",It's the only way to fly.
"00:08:49,125","00:08:51,514",It just sounds like you need to unplug.
"00:08:52,245","00:08:54,201",Get some R and R?
"00:08:54,565","00:08:58,160","What do you think, Dujour? Should we take him with us?"
"00:09:00,085","00:09:01,234",Definitely.
"00:09:01,485","00:09:04,522","No, I can't. I have work tomorrow."
"00:09:05,045","00:09:06,114",Come on.
"00:09:06,365","00:09:08,879",It'll be fun. I promise.
"00:09:15,125","00:09:16,558",Yeah.
"00:09:17,365","00:09:19,162",Sure. I'll go.
"00:09:45,725","00:09:46,635","Hello, Neo."
"00:09:48,125","00:09:49,035",How do you know that name?
"00:09:49,845","00:09:51,483",I know a lot about you.
"00:09:52,325","00:09:53,121",Who are you?
"00:09:53,365","00:09:54,320",My name is Trinity.
"00:09:55,245","00:09:56,394",Trinity.
"00:09:58,125","00:09:59,080",The Trinity?
"00:09:59,525","00:10:01,163",That cracked the IRS D-base?
"00:10:01,405","00:10:02,804",That was a long time ago.
"00:10:03,045","00:10:03,841",Jesus.
"00:10:04,085","00:10:04,881",What?
"00:10:05,325","00:10:07,043",I just thought...
"00:10:08,725","00:10:09,840",...you were a guy.
"00:10:10,085","00:10:11,484",Most guys do.
"00:10:12,645","00:10:14,761",That was you on my computer.
"00:10:15,365","00:10:16,434",How did you do that?
"00:10:17,045","00:10:19,639","Right now, all I can tell you..."
"00:10:20,245","00:10:21,724",...is that you're in danger.
"00:10:22,165","00:10:24,474",- I brought you here to warn you. - Of what?
"00:10:25,045","00:10:26,637","They're watching you, Neo."
"00:10:27,205","00:10:28,001",Who is?
"00:10:28,205","00:10:29,524",Please just listen.
"00:10:32,885","00:10:34,637","I know why you're here, Neo."
"00:10:35,405","00:10:37,282",I know what you've been doing.
"00:10:37,525","00:10:39,322",I know why you hardly sleep...
"00:10:39,605","00:10:42,597","...why you live alone and why, night after night..."
"00:10:42,845","00:10:45,075",...you sit at your computer.
"00:10:46,205","00:10:47,684",You're looking for him.
"00:10:48,445","00:10:51,323","I know, because I was once looking for the same thing."
"00:10:51,805","00:10:53,841",And when he found me...
"00:10:54,445","00:10:57,403",...he told me I wasn't really looking for him...
"00:10:58,285","00:10:59,957",...I was looking for an answer.
"00:11:00,565","00:11:03,557","It's the question that drives us, Neo."
"00:11:04,205","00:11:06,765",It's the question that brought you here.
"00:11:08,765","00:11:10,084",You know the question...
"00:11:10,325","00:11:11,758",...just as I did.
"00:11:13,245","00:11:14,803",What is the Matrix?
"00:11:15,045","00:11:17,400","The answer is out there, Neo."
"00:11:18,045","00:11:19,956",It's looking for you.
"00:11:20,725","00:11:22,363",And it will find you...
"00:11:22,605","00:11:24,516",...if you want it to.
"00:11:31,045","00:11:31,841",Shit.
"00:11:32,085","00:11:33,279","Shit, shit."
"00:11:43,125","00:11:45,844","You have a problem with authority, Mr. Anderson."
"00:11:46,085","00:11:49,964","You believe that you are special, that the rules do not apply to you."
"00:11:50,645","00:11:52,556","Obviously, you are mistaken."
"00:11:55,405","00:11:58,158",This is one of the top software companies in the world...
"00:11:58,405","00:12:01,636",...because employees understand they are part of a whole.
"00:12:01,885","00:12:06,322","Thus, if an employee has a problem, the company has a problem."
"00:12:08,485","00:12:11,557","The time has come to make a choice, Mr. Anderson."
"00:12:12,405","00:12:16,114",Either you choose to be at your desk on time from this day forth...
"00:12:16,725","00:12:19,193",...or you choose to find another job.
"00:12:20,045","00:12:21,319",Do I make myself clear?
"00:12:21,565","00:12:23,874","Yes, Mr. Rhineheart. Perfectly clear."
"00:12:32,005","00:12:32,801",Thomas Anderson?
"00:12:35,005","00:12:36,358","Yeah, that's me."
"00:12:44,045","00:12:45,160",Great.
"00:12:46,525","00:12:47,640",Have a nice day.
"00:13:03,765","00:13:06,962","<i>Hello, Neo. Do you know who this is?</i>"
"00:13:09,125","00:13:10,797",<i>- Morpheus. - Yes.</i>
"00:13:11,045","00:13:12,956",<i>I've been looking for you.</i>
"00:13:13,205","00:13:16,242",<i>I don 't know if you're ready to see what I want to show you.</i>
"00:13:16,485","00:13:19,522","<i>But unfortunately, you and I have run out of time.</i>"
"00:13:19,765","00:13:23,314","<i>They're coming for you, and I don 't know what they're going to do.</i>"
"00:13:23,565","00:13:24,839",Who's coming for me?
"00:13:25,085","00:13:27,076",<i>Stand up and see for yourself.</i>
"00:13:27,325","00:13:28,758",What? Right now?
"00:13:29,045","00:13:30,000",<i>Yes.</i>
"00:13:30,245","00:13:31,439",<i>Now.</i>
"00:13:32,285","00:13:34,082",<i>Do it slowly.</i>
"00:13:34,485","00:13:35,634",<i>The elevator.</i>
"00:13:40,325","00:13:42,043","Oh, shit!"
"00:13:46,525","00:13:47,480",What do they want?
"00:13:47,725","00:13:51,240","<i>I don 't know. If you don 't want to find out, get out of there.</i>"
"00:13:51,485","00:13:52,076",How?
"00:13:52,285","00:13:55,322","<i>I can guide you, but you must do exactly as I say.</i>"
"00:13:56,165","00:13:58,076",<i>The cubicle across from you is empty.</i>
"00:14:01,085","00:14:03,121",<i>- But what if they... - Go. Now.</i>
"00:14:09,605","00:14:11,880",<i>Stay here for just a moment.</i>
"00:14:18,805","00:14:21,444","<i>When I tell you, go to the end of the row...</i>"
"00:14:21,685","00:14:23,562",<i>... to the office at the end of the hall.</i>
"00:14:23,805","00:14:26,080",<i>Stay as low as you can.</i>
"00:14:28,405","00:14:29,360",<i>Go. Now.</i>
"00:14:43,165","00:14:46,555","<i>Good. Now, outside there is a scaffold.</i>"
"00:14:49,165","00:14:51,395",<i>- How do you know this? - We don 't have time.</i>
"00:14:51,645","00:14:54,364",<i>To your left there's a window. Go to it.</i>
"00:14:56,525","00:14:58,004",<i>Open it.</i>
"00:14:58,805","00:15:00,523",<i>Take the scaffold to the roof.</i>
"00:15:00,765","00:15:03,233",No way! No way! This is crazy!
"00:15:03,485","00:15:05,760",<i>There are two ways out of this building.</i>
"00:15:06,005","00:15:09,634",<i>One is that scaffold. The other is in their custody.</i>
"00:15:09,885","00:15:12,957",<i>You take a chance either way. I leave it to you.</i>
"00:15:16,405","00:15:18,077",This is insane!
"00:15:19,205","00:15:21,002",Why is this happening to me?
"00:15:21,285","00:15:22,843",What'd I do?
"00:15:23,205","00:15:25,844",I'm nobody. I didn't do anything.
"00:15:26,405","00:15:27,804",I'm gonna die.
"00:15:37,205","00:15:38,194",Shit!
"00:15:57,645","00:15:58,714","Oh, shit!"
"00:16:03,485","00:16:05,203",I can't do this.
"00:16:17,525","00:16:18,321",Shit.
"00:17:05,565","00:17:10,195","As you can see, we've had our eye on you for some time now, Mr. Anderson."
"00:17:11,445","00:17:14,005",It seems that you've been living...
"00:17:14,245","00:17:16,281",...two lives.
"00:17:17,645","00:17:20,034","In one life, you're Thomas A. Anderson..."
"00:17:20,285","00:17:23,482",...program writer for a respectable software company.
"00:17:24,485","00:17:27,636",You have a social security number. You pay your taxes.
"00:17:28,085","00:17:29,279",And you...
"00:17:30,805","00:17:34,275",...help your landlady carry out her garbage.
"00:17:36,685","00:17:39,677",The other life is lived in computers...
"00:17:39,965","00:17:42,798","...where you go by the hacker alias ""Neo""..."
"00:17:43,045","00:17:47,641",...and are guilty of virtually every computer crime we have a law for.
"00:17:48,885","00:17:50,762",One of these lives...
"00:17:51,005","00:17:52,757",...has a future.
"00:17:53,085","00:17:54,996",And one of them does not.
"00:17:58,565","00:18:02,240","I'm going to be as forthcoming as I can be, Mr. Anderson."
"00:18:03,205","00:18:04,479",You're here...
"00:18:04,805","00:18:06,955",...because we need your help.
"00:18:10,445","00:18:13,323",We know that you've been contacted by a certain...
"00:18:13,565","00:18:15,283",...individual.
"00:18:16,165","00:18:20,044","A man who calls himself ""Morpheus."""
"00:18:21,005","00:18:24,839",Whatever you think you know about this man is irrelevant.
"00:18:25,085","00:18:27,394",He is considered by many authorities...
"00:18:27,645","00:18:30,557",...to be the most dangerous man alive.
"00:18:33,205","00:18:34,354",My colleagues...
"00:18:34,765","00:18:37,563",...believe that I am wasting my time with you.
"00:18:37,845","00:18:41,121",But I believe you wish to do the right thing.
"00:18:41,405","00:18:44,761",We're willing to wipe the slate clean...
"00:18:45,125","00:18:47,161",...give you a fresh start.
"00:18:47,645","00:18:50,443",All we're asking in return is your cooperation...
"00:18:50,685","00:18:54,041",...in bringing a known terrorist to justice.
"00:18:55,365","00:18:56,559",Yeah.
"00:18:57,805","00:18:59,796",That sounds like a really good deal.
"00:19:01,365","00:19:03,037",But I got a better one.
"00:19:03,285","00:19:04,718",How about...
"00:19:05,125","00:19:07,036",...I give you the finger...
"00:19:09,525","00:19:11,481",...and you give me my phone call.
"00:19:13,565","00:19:15,317",Mr. Anderson...
"00:19:19,525","00:19:20,321",...you disappoint me.
"00:19:20,565","00:19:23,079",You can't scare me with this gestapo crap.
"00:19:23,325","00:19:24,644",I know my rights.
"00:19:24,885","00:19:26,318",I want my phone call.
"00:19:26,885","00:19:28,955","Tell me, Mr. Anderson..."
"00:19:29,805","00:19:31,158",...what good is a phone call...
"00:19:31,405","00:19:34,841",...if you're unable to speak?
"00:20:07,245","00:20:09,361","You're going to help us, Mr. Anderson..."
