Start Timestamp,End Timestamp,Dialogue
"00:00:41,775","00:00:43,944",Custom subtitle by <font color=#11A8E1> <b>-: D3xt3r :-</b></font>
"00:00:44,639","00:00:45,683",<i>The world of investing...</i>
"00:00:46,631","00:00:48,029",<i>..can be a jungle.</i>
"00:00:48,655","00:00:50,674",<i>Bulls. Bears.</i>
"00:00:51,513","00:00:52,666",<i>Danger at every turn.</i>
"00:00:53,405","00:00:58,082","<i>That’s why, we at Stratton Oakmont pride ourselves, on being the best.</i>"
"00:00:58,859","00:01:03,504","<i>Trained professionals, to guide you through the financial wilderness.</i>"
"00:01:03,704","00:01:05,053",<i>Stratton Oakmont.</i>
"00:01:05,975","00:01:06,948",<i>Stabilty.</i>
"00:01:07,352","00:01:09,085",<i>Integrity.</i>
"00:01:10,480","00:01:12,979",<i>Pride.</i>
"00:01:14,233","00:01:15,479",One.
"00:01:15,480","00:01:19,462",Two..Three!
"00:01:23,532","00:01:27,427",Twenty five grand to the first cocksucker to nail a bullseye!
"00:01:27,627","00:01:30,120","Come on, let's go!"
"00:01:31,141","00:01:32,603",One.
"00:01:32,912","00:01:34,490",Two..
"00:01:35,048","00:01:37,875",..Three! My name is Jordan Belfort.
"00:01:38,814","00:01:39,810","Not him,"
"00:01:40,010","00:01:42,024",Me. That's right.
"00:01:42,224","00:01:43,829","I’m a former member of the middle class,"
"00:01:44,029","00:01:48,171","raised by two accountants in a tiny apartment in Bayside, Queens."
"00:01:48,371","00:01:50,849","The year I turned 26, as the head of my own brokerage firm,"
"00:01:51,049","00:01:54,358",I made 49 million dollars.
"00:01:54,558","00:01:57,813",Which really pissed me off because it was three shy of a million a week.
"00:02:02,464","00:02:06,195","No..no..no, my Ferrari was white. Like Don Johnson’s in Miami Vice."
"00:02:06,395","00:02:08,467",Not red.
"00:02:11,823","00:02:13,206","See that, humongous estate down there?"
"00:02:13,406","00:02:15,504",That’s my house.
"00:02:16,613","00:02:20,733","My wife, Naomi. The Duchess of Bay Ridge, Brooklyn."
"00:02:21,447","00:02:23,131",A former model and Miller Lite girl.
"00:02:24,062","00:02:28,144","Yeah, she was the one with my cock in her mouth in the Ferrari,"
"00:02:28,473","00:02:30,357","So, put your dick back in your pants."
"00:02:31,056","00:02:33,305","In addition to Naomi and my two perfect kids,"
"00:02:33,505","00:02:36,842","I own a mansion, private jet, six cars, three horses,"
"00:02:37,042","00:02:41,210",two vacation homes and a 170 foot yacht.
"00:02:47,303","00:02:50,791","I also gamble like a degenerate, drink like a fish,"
"00:02:50,991","00:02:53,402","I fuck hookers maybe five-six times a week,"
"00:02:53,654","00:02:57,367",I have three different Federal agencies looking to indict me. Oh yeah..
"00:02:57,567","00:03:00,718",...and I love drugs.
"00:03:21,440","00:03:22,555",Pull up..Pull up!
"00:03:22,755","00:03:25,003",We’re gonna crash!! For Christ's sake! Pull up!
"00:03:26,825","00:03:27,970",Juuusss..Relax.
"00:03:38,358","00:03:41,066","Are you okay? - Yeah, i'm alright."
"00:03:41,266","00:03:42,266",Good job.
"00:03:43,415","00:03:44,683","You get in there safe, alright?"
"00:03:46,153","00:03:47,441","Next time, brahther."
