IMDB ID,Start Timestamp,End Timestamp,Dialogue
tt1229238,"00:00:00,030","00:00:27,030","<font color=""#ff0000"">This is an improved version of my previous subtitle.</font> Transcribed and Synchronized by: <font color=""#00ffff"">kucing_gaul  (Nakashima_Tadayoshi)</font>"
tt1229238,"00:03:20,743","00:03:23,945","Hey, how did you manage to leave the cell?"
tt1229238,"00:03:23,980","00:03:27,409",How did you come out of cell? Open door 2.
tt1229238,"00:03:29,202","00:03:31,454",How did you come out?
tt1229238,"00:03:32,277","00:03:34,594",Return back to the cell!
tt1229238,"00:03:35,070","00:03:37,501",I told you to go back to the cell!
tt1229238,"00:03:37,536","00:03:40,647",Let's give you a few friends to play with.
tt1229238,"00:03:53,536","00:03:55,422",Sorry.
tt1229238,"00:04:01,612","00:04:03,875","- Send the guards there! - Yes, sir!"
tt1229238,"00:04:10,178","00:04:12,512","Okay, I'm set. How is things going down below?"
tt1229238,"00:04:12,547","00:04:14,282",How do you think? I am in a sewer.
tt1229238,"00:04:14,317","00:04:16,917",Doors do not open. We're stuck here.
tt1229238,"00:04:16,952","00:04:20,274",Alarm goes off.
tt1229238,"00:04:26,765","00:04:30,080",- We are in danger! We ask for reinforcements! - Captain!
tt1229238,"00:04:32,345","00:04:34,397",Damn!
tt1229238,"00:04:36,816","00:04:39,924",- We need reinforcements. - We have a problem in sector 2E.
tt1229238,"00:04:45,282","00:04:47,532",I'm in position.
tt1229238,"00:04:47,934","00:04:50,092",Move to phase two.
tt1229238,"00:05:42,280","00:05:44,570","Wha,what are you doing? What are you doing?"
tt1229238,"00:05:44,605","00:05:46,515","What's wrong? What's happening, Benji?"
tt1229238,"00:05:46,550","00:05:48,176",O God! He is not gonna be in the extraction point.
tt1229238,"00:05:48,276","00:05:51,476",Stay focus. He knows where he's going.
tt1229238,"00:05:57,853","00:06:01,560","No,  no, I'm not. No, I wouldn't, I would not open that door, please."
tt1229238,"00:06:01,751","00:06:03,578","Go to the  extraction point, Ethan."
tt1229238,"00:06:03,613","00:06:07,656","I know, I know what this means, but I, I can't. I'm not authorized..."
tt1229238,"00:06:08,603","00:06:11,962","Go to the extraction point, Ethan. Go to the extraction point!"
tt1229238,"00:06:12,672","00:06:16,194","O, we gonna, each we gonna wait, we gonna wait ,we gonna wait. Right, I can wait."
tt1229238,"00:06:26,425","00:06:28,761",Okay fine! fine! fine!
tt1229238,"00:06:29,480","00:06:33,254","There! You just, just screw the whole thing up, on purposed."
tt1229238,"00:06:36,669","00:06:38,607",What do you mean nobody works?
tt1229238,"00:06:38,775","00:06:41,870","ah..Jane, we gonna have a slight delay."
tt1229238,"00:06:59,723","00:07:02,278",Why do you wanna go in there?
tt1229238,"00:07:08,653","00:07:10,661",Bogdan.
tt1229238,"00:07:10,798","00:07:13,148",Bogdan.
tt1229238,"00:07:13,439","00:07:16,520",- Sergei? - Come on.
tt1229238,"00:07:16,534","00:07:20,097","- You mean now? - Yes, now."
tt1229238,"00:07:22,724","00:07:25,406","I don't know what he's doing, and for some reasons I'm helping him"
tt1229238,"00:07:25,441","00:07:28,338",As long as he's in his ways should be in the sunk end
tt1229238,"00:07:32,476","00:07:34,720","ah, we have a passenger."
tt1229238,"00:08:00,878","00:08:02,754",Sergei!
tt1229238,"00:08:12,200","00:08:13,666",Open all!
tt1229238,"00:08:28,481","00:08:29,933",Come on!
tt1229238,"00:08:34,772","00:08:37,155",God! This is a dead end!
tt1229238,"00:08:37,190","00:08:41,538","Sergei, do not tell me that this is the end of our escape route."
tt1229238,"00:09:19,851","00:09:20,988",Go ahead.
tt1229238,"00:09:21,023","00:09:23,911",- Agent Hunt? - And you're?
tt1229238,"00:09:23,985","00:09:26,050",Agent Carter.
tt1229238,"00:09:26,085","00:09:27,949",Okay.
tt1229238,"00:09:28,576","00:09:31,095",- Who's your pal? - I tell you on the way.
tt1229238,"00:09:35,197","00:09:37,361",Light the fuse!
tt1229238,"00:09:57,200","00:10:03,785",Mission Impossible 4:  GHOST PROTOCOL
